Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
JPMorgan,JPLD,Jpmorgan Limited Duration Bond ETF,4,Below Average,Gold,,34.0,34.0,34.0,30.8,55.2,83.1
Vanguard,MGC,Vanguard Mega Cap Index Fund ETF Shares,5,Average,Silver,3.0,33.9,33.9,33.9,33.7,32.7,31.9
SPDR,DGT,State Street® SPDR® Global Dow ETF,5,Average,Neutral,2.0,33.5,33.5,33.5,33.5,33.5,64.0
BlackRock,CII,"BlackRock Enhanced Large Cap Core Fund, Inc",5,Average,,4.0,32.7,32.7,32.7,32.7,32.7,14.9
Invesco,CGW,Invesco S&P Global Water Index ETF,4,Low,Silver,2.0,32.4,32.4,32.4,32.4,28.2,10.1
iShares,IMTM,iShares MSCI Intl Momentum Factor ETF,5,Average,Silver,3.0,32.3,32.3,36.4,37.4,33.6,34.7
Invesco,PFM,Invesco Dividend Achievers™ ETF,4,Low,Bronze,4.0,32.0,32.0,32.0,32.0,32.0,8.8
JPMorgan,JPME,JPMorgan Diversified Return U.S. Mid Cap Equity ETF,4,Below Average,Gold,3.0,31.8,31.8,31.8,31.8,31.8,31.8
First Trust,FICS,First Trust International Developed Cap Strength ETF,4,Below Average,Neutral,4.0,31.3,31.3,31.3,31.3,31.3,27.3
First Trust,FRI,First Trust S&P REIT Index Fund,4,Average,Neutral,3.0,30.5,30.5,30.5,30.5,30.5,30.5
Dimensional,JHMD,John Hancock Multifactor Developed International ETF,4,Below Average,Gold,2.0,30.4,30.4,30.4,30.4,44.3,17.8
SPDR,GII,State Street® SPDR® S&P® Global Infrastructure ETF,4,Average,Neutral,4.0,30.2,30.2,30.2,30.2,29.8,0.0
BlackRock,FIDU,Fidelity MSCI Industrials Index ETF,4,Below Average,Bronze,3.0,29.8,29.8,29.8,26.6,23.6,29.4
Morgan Stanley,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,4,Average,,3.0,29.4,29.4,29.4,29.1,47.0,27.5
iShares,HEWJ,iShares Currency Hedged MSCI Japan ETF,4,Below Average,Neutral,3.0,29.0,29.0,29.0,29.0,35.5,19.3
Invesco,PHO,Invesco Water Resources ETF,4,Below Average,Neutral,2.0,28.3,28.3,28.3,28.3,30.1,27.6
Invesco,PKW,Invesco BuyBack Achievers ETF,5,Average,Neutral,3.0,28.0,28.0,28.0,28.0,28.0,23.9
First Trust,FTGC,First Trust Global Tactical Commodity Strategy Fund,4,Below Average,Neutral,,27.6,27.6,21.6,13.8,40.9,64.0
First Trust,FCA,First Trust China AlphaDEX® Fund,5,Average,Bronze,2.0,26.7,26.7,26.7,26.7,26.7,41.2
SPDR,MDYG,State Street® SPDR® S&P 400™ Mid Cap Growth ETF,4,Average,Silver,2.0,26.6,26.6,26.6,26.6,24.8,8.9
iShares,IMCG,iShares Morningstar Mid-Cap Growth ETF,4,Below Average,Silver,4.0,26.2,26.2,26.2,17.2,24.8,15.6
J.P. Morgan,MSD,MS Emerging Markets Debt Fund,4,Below Average,,,26.1,26.1,26.1,26.1,45.2,85.0
JPMorgan,JCPI,JPMorgan Inflation Managed Bond ETF,5,Low,Silver,4.0,26.0,26.0,26.0,26.0,26.0,46.8
iShares,SMMV,iShares MSCI USA Small-Cap Min Vol Factor ETF,4,Low,Silver,4.0,26.0,26.0,26.0,26.0,26.0,26.0
Invesco,RSPN,Invesco S&P 500® Equal Weight Industrials ETF,4,Below Average,Gold,3.0,26.0,26.0,26.0,23.6,18.5,0.0
BlackRock,BGT,BlackRock Floating Rate Income Trust Fund,4,Below Average,,,24.9,24.9,24.9,26.7,12.5,22.1
iShares,EFV,iShares MSCI EAFE Value ETF,4,Average,Gold,2.0,23.8,23.8,30.3,24.8,11.3,33.4
SPDR,SPGM,State Street® SPDR® Portfolio MSCI Global Stock Market ETF,4,Average,Silver,2.0,23.5,23.5,23.5,23.5,24.9,25.2
Invesco,IROC,Invesco Rochester High Yield Municipal ETF,4,Below Average,Neutral,,22.2,22.2,22.2,22.2,22.2,22.2
Invesco,IIM,Invesco Insured Municipal Income Trust,4,Average,,,21.2,21.2,21.2,16.5,58.0,64.1
SPDR,ONEO,State Street® SPDR® Russell 1000 Momentum Focus ETF,4,Average,Gold,3.0,21.1,21.1,21.1,21.1,21.1,21.1
First Trust,LALT,First Trust Multi-Strategy Alternative ETF,4,Average,,4.0,19.9,19.9,19.9,19.9,19.9,19.9
JPMorgan,JFLX,JPMorgan Flexible Debt ETF,4,Below Average,Silver,2.0,19.3,19.3,19.3,19.3,19.1,8.0
Vanguard,VFMF,Vanguard U.S. Multifactor ETF Shares,5,Average,Gold,3.0,19.1,19.1,19.1,19.1,19.1,23.2
First Trust,FPE,First Trust Preferred Securities and Income ETF,4,Average,Neutral,3.0,18.7,18.7,53.5,44.5,37.1,73.3
BlackRock,BME,BlackRock Health Sciences Trust,4,Low,,4.0,18.6,18.6,18.6,18.6,18.1,10.5
